P285, 45-54, female, sophomore (2 years of college), California  
P286, 35-44, male, senior (4 years of college), Michigan  
P287, 45-54, male, senior (4 years of college), Utah  
P288, 25-34, male, senior (4 years of college), California  
P289, 45-54, male, high school, Idaho  
P290, 25-34, male, high school, Michigan  
P291, 25-34, female, sophomore (2 years of college), North Carolina  
P292, 25-34, female, senior (4 years of college), Missouri  
P293, 25-34, male, senior (4 years of college), Hawaii  
P294, 25-34, male, sophomore (2 years of college), New Jersey  
P295, 45-54, male, masters, California  
P296, 25-34, male, doctorate, California  
P297, 35-44, female, high school, Washington  
P298, 45-54, female, senior (4 years of college), Minnesota  
P299, 45-54, male, senior (4 years of college), California  
P300, 35-44, male, senior (4 years of college), California  
P301, 16-24, male, masters, South Carolina  
P302, 25-34, female, high school, Wisconsin  
P303, 45-54, male, sophomore (2 years of college), Connecticut  
P304, 55-64, male, senior (4 years of college), Maryland  
P305, 45-54, female, masters, Texas  
P306, 35-44, male, masters, California  
P307, 55-64, male, high school, Michigan  
P308, 55-64, female, junior (3 years of college), Missouri  
P309, 55-64, male, sophomore (2 years of college), California  
P310, 45-54, female, senior (4 years of college), Ohio  
P311, 45-54, male, senior (4 years of college), Minnesota  
P312, 55-64, male, senior (4 years of college), California  
P313, 35-44, male, senior (4 years of college), Mississippi  
P314, 65-74, male, sophomore (2 years of college), Texas  
P315, 55-64, female, senior (4 years of college), Pennsylvania  
P316, 45-54, female, masters, California  
P317, 25-34, male, masters, California  
P318, 25-34, male, senior (4 years of college), Minnesota  
P319, 55-64, male, senior (4 years of college), Ohio  
P320, 25-34, male, senior (4 years of college), Virginia  
P321, 25-34, male, senior (4 years of college), Ohio  
P322, 25-34, female, masters, Oregon  
P323, 45-54, male, masters, Florida  
P324, 25-34, male, sophomore (2 years of college), Georgia  
P325, 35-44, male, masters, Iowa  
P326, 25-34, female, high school, West Virginia  
P327, 35-44, male, sophomore (2 years of college), Massachusetts  
P328, 35-44, female, other professional, Texas  
P329, 35-44, female, senior (4 years of college), Missouri  
P330, 25-34, male, senior (4 years of college), Tennessee  
P331, 45-54, male, high school, Georgia  
P332, 35-44, male, senior (4 years of college), California  
P333, 25-34, male, senior (4 years of college), California  
P334, 35-44, female, senior (4 years of college), Pennsylvania  
P335, 45-54, female, other professional, Arizona  
P336, 35-44, male, senior (4 years of college), Florida  
P337, 16-24, male, senior (4 years of college), California  
P338, 25-34, female, senior (4 years of college), Alabama  
P339, 25-34, male, senior (4 years of college), Illinois  
P340, 75-84, female, masters, Illinois  
P341, 25-34, male, high school, Texas  
P342, 45-54, male, senior (4 years of college), Ohio  
P343, 55-64, male, masters, Louisiana  
P344, 25-34, female, freshman (1 year of college), Massachusetts  
P345, 25-34, male, masters, Washington  
P346, 45-54, male, senior (4 years of college), Colorado  
P347, 55-64, female, senior (4 years of college), Colorado  
P348, 35-44, male, masters, New Jersey  
P349, 45-54, female, high school, Tennessee  
P350, 25-34, male, sophomore (2 years of college), New Jersey  
P351, 35-44, male, freshman (1 year of college), Illinois  
P352, 25-34, male, senior (4 years of college), Arkansas  
P353, 35-44, male, high school, Rhode Island  
P354, 35-44, male, senior (4 years of college), Florida  
P355, 45-54, female, freshman (1 year of college), Texas  
P356, 45-54, female, sophomore (2 years of college), Illinois  
P357, 25-34, male, sophomore (2 years of college), California  
P358, 55-64, female, masters, South Carolina  
P359, 16-24, male, senior (4 years of college), Maryland  
P360, 55-64, female, junior (3 years of college), California  
P361, 55-64, female, masters, Colorado  
P362, 45-54, male, senior (4 years of college), California  
P363, 25-34, female, masters, Florida  
P364, 35-44, female, senior (4 years of college), Texas  
P365, 35-44, female, senior (4 years of college), Texas  
P366, 25-34, female, masters, Texas  
P367, 25-34, female, senior (4 years of college), Massachusetts  
P368, 25-34, male, senior (4 years of college), Tennessee  
P369, 25-34, male, masters, California  
P370, 45-54, female, senior (4 years of college), Georgia  
P371, 25-34, female, high school, Michigan  
P372, 25-34, male, junior (3 years of college), California  
P373, 25-34, male, masters, Minnesota  
P374, 45-54, male, masters, Wisconsin  
P375, 55-64, female, masters, Utah  
P376, 25-34, male, masters, Colorado  
P377, 25-34, male, junior (3 years of college), California  
P378, 25-34, male, junior (3 years of college), Florida  
P379, 35-44, male, senior (4 years of college), California  
